score,section,group
1.36,petite,1
0.24,petite,1
0.22,petite,1
0.11,petite,1
1.25,petite,1
0.24,petite,1
0.35,petite,1
0.24,petite,1
1.6,petite,1
0.63,petite,1
0.68,petite,1
0,petite,1
1.44,petite,1
1.86,petite,1
3.47,petite,1
0.58,petite,1
0,petite,1
0.82,petite,1
2.75,petite,1
3.14,petite,1
1.58,petite,1
2.83,petite,1
1.92,petite,1
0.83,petite,1
2.47,petite,1
1.13,petite,1
1.72,petite,1
0.61,petite,1
0.35,petite,1
1.11,petite,1
1.24,petite,1
2.36,petite,1
0.5,petite,1
2.07,moyenne,1
3.6,moyenne,1
2.57,moyenne,1
4.29,moyenne,1
5.67,moyenne,1
1.67,moyenne,1
2.43,moyenne,1
4.72,moyenne,1
7.67,moyenne,1
3.83,moyenne,1
5.13,moyenne,1
2.31,moyenne,1
1,moyenne,1
3.74,moyenne,1
6.64,moyenne,1
3.39,moyenne,1
2.36,moyenne,1
6.75,moyenne,1
5.13,moyenne,1
8,moyenne,1
7.08,moyenne,1
6.01,moyenne,1
6.25,moyenne,1
2.61,moyenne,1
3.61,moyenne,1
2.67,moyenne,1
5.24,moyenne,1
1.56,moyenne,1
1.89,moyenne,1
4.06,moyenne,1
3.11,moyenne,1
4,moyenne,1
2.89,moyenne,1
7.63,grande,1
5.79,grande,1
7.38,grande,1
8.5,grande,1
5.75,grande,1
4.83,grande,1
5.38,grande,1
7.75,grande,1
7.54,grande,1
8.38,grande,1
7.5,grande,1
6.17,grande,1
5.68,grande,1
7.25,grande,1
7.54,grande,1
5.64,grande,1
6.46,grande,1
7.5,grande,1
8.75,grande,1
9,grande,1
7.25,grande,1
7.42,grande,1
6.58,grande,1
8.25,grande,1
7.46,grande,1
7.21,grande,1
7.5,grande,1
8.17,grande,1
6.96,grande,1
8,grande,1
6.92,grande,1
5.71,grande,1
7,grande,1
1.57,petite,2
1.36,petite,2
1.25,petite,2
2.81,petite,2
0.86,petite,2
0.47,petite,2
0.35,petite,2
1.81,petite,2
1.63,petite,2
1.36,petite,2
0.35,petite,2
1.75,petite,2
0.35,petite,2
2.58,petite,2
1.58,petite,2
1.67,petite,2
0.6,petite,2
1.63,petite,2
1.06,petite,2
0,petite,2
2.17,petite,2
0.25,petite,2
0,petite,2
2.67,petite,2
2.33,petite,2
1.13,petite,2
1.22,petite,2
1.33,petite,2
1,petite,2
0.83,petite,2
2.26,moyenne,2
3.68,moyenne,2
6.26,moyenne,2
3.88,moyenne,2
6.54,moyenne,2
5.25,moyenne,2
6,moyenne,2
6.67,moyenne,2
4.96,moyenne,2
2.57,moyenne,2
1.64,moyenne,2
5.83,moyenne,2
6.42,moyenne,2
6.88,moyenne,2
4.46,moyenne,2
1.94,moyenne,2
5.5,moyenne,2
1.71,moyenne,2
3.33,moyenne,2
2.28,moyenne,2
5.67,moyenne,2
5.32,moyenne,2
1.56,moyenne,2
2.32,moyenne,2
4.17,moyenne,2
6.18,moyenne,2
4.32,moyenne,2
6.5,moyenne,2
3,moyenne,2
2.67,moyenne,2
4.42,grande,2
6.63,grande,2
6.88,grande,2
7.17,grande,2
7,grande,2
7.33,grande,2
7.63,grande,2
6.54,grande,2
8.54,grande,2
5.21,grande,2
4.46,grande,2
7,grande,2
6.5,grande,2
6,grande,2
7.25,grande,2
5.47,grande,2
7.63,grande,2
3.83,grande,2
4.92,grande,2
5.96,grande,2
6.33,grande,2
7.13,grande,2
4.61,grande,2
4.13,grande,2
7,grande,2
7.25,grande,2
7.88,grande,2
8.5,grande,2
5.21,grande,2
7,grande,2
